Company,ShoeURL,ShoeName,colorSize,TotalScore,TotalReviews,Discontinued,Terrain,Arch,Use,Price,Discount,ShoeWeight,ToeDrop,FootHeight,ReleaseDate,GoodSummary,BadSummary,Summary,RatingsText,USARanking,FiveStars,FourStars,ThreeStars,TwoStars,OneStars,ProdInfo,SizenFit,OuterSole,UpperSole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nike,https://runrepeat.com/nike-air-zoom-elite-9,Nike Air Zoom Elite 9,11,92,26,N,Road,Neutral,Competition,$120 ,$90 | 25%,7,8,19,,"Several Nike Elite fans loved the exceptional comfort provided by the 9th version of this shoe.;It is very light and significantly lighter than the earlier version.;The price is considered by some as very reasonable.;A handful of runners noted that the cushioning is clearly softer and more forgiving than past iterations of this shoe.;It has a responsive ride, based on the comments of some reviewers.;The Flymesh upper breathes well and hugs the foot in comfort and security.;The new Zoom Air unit in the forefoot makes the shoe snappier than before.;A few reviewers remarked that the grip excels, even on wet areas.;The Zoom Elite 9 is versatile where distance and speed are concerned.;As noticed by a moderate number of runners, it is strong enough for almost any mileage and fast enough for short and quick runs.;Many runners were impressed by the smoothness of the ride of this shoe.;",Heel strikers do not get to enjoy the responsive Zoom Air technology in the forefoot.;A few runners were frustrated by the shallow toe box.;The Nike Elite 9 lacks reflective details.;Several runners had to go up in size to get the best fit.;,"Most runners consider the Air Zoom Elite 9 as either a Pegasus 33 on a diet or a brawny Nike Streak 6 in Nike’s line up. The shoe shines when used for up-tempo runs and distances ranging from 5Ks to full marathons. It has a snappy ride, good arch support, and effortless transitions. Overall, the Elite 9 should be a more than expected sight on the road this year.Heel strikers do not get to enjoy the responsive Zoom Air technology in the forefoot.;A few runners were frustrated by the shallow toe box.;The Nike Elite 9 lacks reflective details.;Several runners had to go up in size to get the best fit.;",4.5 / 5 based on 26 ratings,"How popular is Nike Air Zoom Elite 9 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #163 most popular running shoes.",65%,4%,12%,4%,0%,"The midsole of the Nike Air Zoom Elite 9 was updated. It now used the Cushlon LT midsole that is designed for a lightweight cushioning. The Cushlon was extended in the entire midsole for a more resilient ride.;The 9th version of the Air Zoom Elite still features the Duralon rubber compound, but in this version, the rubber compound was extended in the entire outsole for durability and added underfoot protection.;The upper of the shoe was also updated to deliver a more breathable, and comfortable fit. It still uses the Flymesh material, but added to it is the Notched Inner Sleeve that offers an enhanced comfort and a snug fit.;",The Nike Air Zoom Elite 9 offers an improved fit because of the modification in the upper and the addition of an inner mesh sleeve. The heel and midfoot areas of the shoe accommodate runners with narrow to medium foot measurement. The forefoot is a bit narrow and not ideal for runners with wider feet. The shoe is available in standard D and B widths for men’s and women’s versions.,The Duralon rubber compound is extended in the entire outsole of the Nike Air Zoom Elite 9. It gives durability to high-wear areas and added underfoot protection for an improved running experience.,"With the single-layer Flymesh upper, the Nike Air Zoom Elite 9 offers a great combination of seamless support and breathability. The Flymesh material was modified to reduce weight while improving the overall fit and feel. The inner mesh sleeve in the forefoot and midfoot wraps the foot for an unmatched fit and comfort."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas,https://runrepeat.com/adidas-terrex-agravic-speed,Adidas Terrex Agravic Speed,7,92,178,N,Trail,Neutral,Daily running,$120 ,$68 | 43%,,,,,"Most Customers called Adidas Terrex Speed an excellent trail running shoe as it held their feet firmly and securely.;A large number of runners praised the high level of comfort offered by Terrex Agravic Speed.;The customers said that it was a good-looking shoe; it satisfied their fashion urge.;The users were also happy with the variety of color schemes available for this shoe.;Users were happy that the price of the shoe was affordable.;The wearers admired the grip of the shoe on the ground, which prevented unnecessary slippage.;Runners had been impressed with the resilience and flexibility of the shoe, especially on the unpredictable trails.;The toe-box of the shoe was very roomy and airy, said a customer.;One user liked the versatile nature of Adidas Terrex Agravic Speed since it caused the shoe to adapt comfortably to the changing foot movements without having any harsh impact on his feet.;Consumers generally admired how this shoe remained true to size.;A customer also liked the outsole of the shoe; he mentioned that the cutouts on it handled his weight really well.;Another user mentioned how light these shoes were; it felt like he was wearing nothing on his feet.;","A few users said that the upper of the shoe was a bit narrower than the shoes they had used in the past.;A runner said that the insole of the shoe was a bit constricted, which resulted in pain in his foot arch.;A customer was concerned that the lightweight nature of this shoe rendered it incompetent for running on trails.;","Runners considered the Adidas Terrex Agravic Speed a package of high comfortability and stability available at an affordable price. Many runners appreciated the ready-to-go looks and the better-than-expected performance of the shoe. However, a few customers expressed concern about its narrow upper.A few users said that the upper of the shoe was a bit narrower than the shoes they had used in the past.;A runner said that the insole of the shoe was a bit constricted, which resulted in pain in his foot arch.;A customer was concerned that the lightweight nature of this shoe rendered it incompetent for running on trails.;",4.5 / 5 based on 178 ratings,"How popular is Adidas Terrex Agravic Speed in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #478 most popular running shoes.",60%,30%,4%,3%,1%,"Adidas Terrex Agravic Speed uses ripstop fabric in its upper – a material which is breathable and not-easy-to-rip by its nature. The fabric is usually thin and made from nylon which allows air to enter the shoe keeping the runner's feet healthy, cool and dry.;The EVA foam has been deployed in the midsole which is responsible for the enhancement of cushioning elements. Also, it is water resistant and a non-irritant material like carbon rubber. This technique together with the collar and the tongue of the shoe provides support and comfort during a run.;The outsole of Terrex Agravic Speed is made of Continental™ rubber. It is an extremely light weight carbon material, which provides a firm grip on the ground to avoid the slip and lowers the chances of injury while running.;",Adidas Terrex Agravic Speed gives you a snug fit and remains true to size. It is available in both B and D for men and women respectively.,"Continental rubber has been used in the Terrex Agravic Speed’s outsole which offers grip in both wet and dry conditions. The outsole has small trapezoidal shaped nodes attached to it, to prevent the slip and the unnecessary pressure.",Adidas Terrex Agravic Speed utilizes Ripstop technology in its upper. This technique works together with the perforated collar and tongue to deliver breathability. It provides an optimal fit with a non-irritant feel to the runners.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nike,https://runrepeat.com/nike-lunarstelos,Nike LunarStelos,12,92,291,N,Road,Neutral,Daily running,$85 ,$43 | 49%,,,,,"Extremely comfortable is an expression that comes up in most of the reviews of the LunarStelos.;It is very affordable.;A handful of runners loved its lightweight design.;There are more than enough color options available;It is very flexible, based on some comments.;A couple of runners valued the cool looks of this shoe.;Breathability is very good, as noted by more than a few.;This is a good training partner in the gym, according to more than a handful of reviewers.;Some of those who are on their feet all day valued the cushioning and support of this shoe.;","A significant number of runners were hugely disappointed by the overall lack of durability coming from this shoe.;Although quite thick, the shoe does not have enough cushioning, according to some reviewers;It is a bit narrow for a few runners.;","The LunarStelos has all the makings of a handy, reliable, and lightweight trainer. Besides being very affordable, the superior comfort, excellent breathability, good arch support, and really cool looks should make this an easy option for neutral runners. The shoe has the speed to take on up-tempo runs as well as the cushioning and support for piling on the miles. Although an entry-level shoe, it should also be a very solid choice for seasoned runners during recovery days or for long and easy runs.A significant number of runners were hugely disappointed by the overall lack of durability coming from this shoe.;Although quite thick, the shoe does not have enough cushioning, according to some reviewers;It is a bit narrow for a few runners.;",4.6 / 5 based on 291 ratings,"How popular is Nike LunarStelos in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #159 most popular running shoes.",73%,18%,5%,1%,2%,"Nike makes the LunarStelos a very functional by using typical designs and a few of their proprietary technologies. The mesh upper is very breathable and gives good flexibility with decent support. Providing the shoe with more ventilation are the perforations on each side of the shoe. Runners are guaranteed of a cool and dry run in this shoe.;Working with the upper mesh is the brand-exclusive Flywire cords. They hug the foot in security and support as the cords are attached to the midsole and then connected through the laces. With each tug of the laces, the cords are directly involved in giving runners their most preferred fit.;The outsole is another unique Nike technology. It features the siped pattern that allows good flexibility and excellent ground contact. The usual hard rubber in the heel and other areas add more durability in this part of the shoe.;",The fit of the Nike LunarStelos is reasonably standard. It holds the heel and the midfoot really well and can be adjusted for a more precise fit courtesy of the Flywire cords. The forefoot has a fairly roomy space for mid-run swelling and for the toes to naturally spread out. It runs true to size.,Nike’s laser-cut outsole is utilized in the LunarStelos. The unique design of the outsole features grooves and a rubber pattern that offers good ground contact for stability while also giving the shoe excellent flexibility. A sturdy carbon rubber is located in the heel and other parts for a more lasting performance.,"The no-sew upper is mostly very breathable mesh and printed overlays for support. Nike uses 4 Flywire cords on both sides for a comprehensive locked down technology. The cords also allow the foot to move together with the entire upper. As mentioned, the sides of the shoe have prominent perforations for exceptional breathability. The collar and the tongue have relatively thick padding. There is also a removable insole for more cushioning and support."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puma,https://runrepeat.com/puma-carson-runner,Puma Carson Runner,3,92,220,N,Road,Neutral,Competition,$65 ,$27 | 58%,,,,,"A few number of runners mentioned that the Carson Runner has a comfortable and reliable cushioning.;The outsole unit is made durable by the EverTrack compound.;Some runners were happy by the overall fit of the shoe.;The Air Mesh upper provides a breathable coverage, keeping the shoe well-ventilated all throughout the run.;Many applauded the design of the Puma Carson Runner.;The shoe is affordable.;Available in different colorways.;",Some runners felt that the shoe is too narrow for them.;Size runs small.;,"Style and performance is what the Puma Carson Runner offers. With the perfect blend of cushioning, traction and durability, this shoe will not disappoint those who are looking for a new training partner. This shoe is best for narrow-footed runners.Some runners felt that the shoe is too narrow for them.;Size runs small.;",4.6 / 5 based on 220 ratings,"How popular is Puma Carson Runner in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #209 most popular running shoes.",70%,17%,8%,3%,1%,"The Puma Carson Runner comes with an airmesh upper that provides maximum breathability, keeping the foot well-ventilated all throughout the run. Aside from the comfort, the upper material also provides a sleek style.;The outsole unit of the shoe features the EVERRIDE and EVERTRACK materials. The EVERRIDE provides durability to the outsole while giving added cushioning. The EVERTRACK also gives added durability especially on high-wear areas.;",The size of the Puma Carson Runner runs small. You have to purchase one size larger than the usual running shoe size. The shoe offers a medium fit and has a narrow toe box. This shoe is not ideal for wide-footed runners. It is available in medium widths.,"The outsole unit of the shoe utilizes the EverRide rubber material that is designed for extra cushioning. It works perfectly with the EverTrack element, an abrasion-resistant rubber material that is designed for durability.",The upper of the Puma Carson Runner uses an air mesh material to provide breathability and flexibility. The lace closure of the shoe provides a snug fit. The anti-microbial sockliner delivers added step-in comfort while giving a microbial-free environment.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nike,https://runrepeat.com/nike-fs-lite-run-4,Nike FS Lite Run 4,12,92,150,N,Road,Neutral,Daily running,$75 ,$41 | 45%,,,,,"The 4th version of the FS Lite Run is considered by many as very comfortable.;A lot of those who have bought this shoe stated that it had an affordable price.;More than a handful of runners do their gym workouts in this shoe as well.;Its lightweight nature received positive remarks.;Some runners took the shoe for a ride right out of the box and were very satisfied with its performance.;Purchasers generally appreciated its design and the color schemes.;More than a few mentioned that it runs true to size.;It is surprisingly durable, based on the reports of some runners.;There are many color options.;The Breathe Tech upper is as breathable as advertised.;Several runners use it as an everyday shoe for work or for just running errands.;",A handful of reviewers had issues with the flat tongue as it caused rubbing or irritation.;It was ½ size smaller than what some testers were used to.;The midfoot section of the platform was apparently too high for a user that it caused some discomfort to the underfoot.;,"Nike scores a home run in the FS Lite Run 4. The shoe is based on the principle that back to basics works like a dream if it is done right. While it does not bring extra accessories, it works as a functional, lightweight trainer with moderate arch support and has the kind of looks that will easily generate compliments from people. It is extremely comfortable, breathable, and has an unbelievable price tag.A handful of reviewers had issues with the flat tongue as it caused rubbing or irritation.;It was ½ size smaller than what some testers were used to.;The midfoot section of the platform was apparently too high for a user that it caused some discomfort to the underfoot.;",4.6 / 5 based on 150 ratings,"How popular is Nike FS Lite Run 4 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #73 most popular running shoes.",77%,11%,5%,2%,3%,"The changes in the Nike FS Lite Run 4 is concentrated on the upper. Right away, runners will notice that the most obvious change is the removal of the midfoot and forefoot overlays. It gives the shoe a more sophisticated and clean look while support is now provided by an overlay near the ankle that stretches all the way to the back.;The overlay on the toe box gave way to an internal toe bumper. Besides giving the shoe a neat look, the toe box also gets more volume and height with this update. There should be a slight uptick in comfort with this update.;;",A more accommodating upper with generous toe box room are the biggest updates where fit goes in the 4th iteration of the Nike FS Lite Run. The heel grip and the midfoot hold are both decent. There is enough space in the forefoot to make runners with various foot types comfortable. Fans of the previous version should generally be familiar with what the latest model brings. It runs true to size.,"The outsole of the FS Lite Run 4 stands out because of the unique hexagonal lugs that basically cover the entire underfoot surface. It brings excellent traction on different surfaces, while flexibility is also very good. Nike adds rubber pods in distinct areas that need it the most for durability.",The upper of the Nike FS Lite Run 4 is very simple and minimalist in nature. A very breathable mesh delivers breathable coverage and just the right amount of support. An internal heel counter locks down the rear for security. Nike also offers a removable insole for more cushioning. A traditional lace-up closure keeps the fit secured all throughout the run.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Balance,https://runrepeat.com/new-balance-vazee-prism-v2,New Balance Vazee Prism v2,6,92,30,N,Road,Stability,Daily running,$100 ,$50 | 50%,9,8,19,,"Most of the reviewers valued the comfort of the Prism v2.;The stability is noticeable without being intrusive, according to several runners.;It is more breathable than the original model, based on the comments of a handful of testers.;The toe box gets a little more room with the removal of the forefoot/toe box overlays.;A few experts appreciated the softer heel, which does not compromise the secure fit of the rear section.;It comes in multiple color options.;New Balance continues to offer wide widths for the Vazee Prism v2.;The price is less compared to some of its competitors.;It rides a bit softer, which a handful considered as an improvement over the stiff ride of the earlier version.;Some runners have used it for gym workouts because of the lightweight support.;","It is noticeably heavier than the original model, according to a handful of reviewers.;The midsole foam lacks the responsiveness of many of its competitors, according to a few runners.;","The 2nd instalment of the Prism continues to provide the only stability option in New Balance’s Vazee collection of shoes. It is a shoe that still performs a little faster despite the added bulk. Additionally, it becomes a more viable option for those who require lightweight stability when running in half or full marathons. With a very reasonable price tag, the shoe is an excellent value for the money choice for many runners.It is noticeably heavier than the original model, according to a handful of reviewers.;The midsole foam lacks the responsiveness of many of its competitors, according to a few runners.;",4.5 / 5 based on 30 ratings,"How popular is New Balance Vazee Prism v2 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #205 most popular running shoes.",70%,7%,10%,3%,3%,"Seemingly, many of the updates in the New Balance Vazee Prism v2 are in response to past issues of the original Prism. Most conspicuous in the changes in the upper is the use of a very breathable and softer mesh. The large holes in the forefoot and the sides guarantees a sweat-free and dry run.;The soft, but dense mesh also helps with the form-fitting upper. It plays tag team with the bootie construction for a personalized fit that many runners should find very nice.;A little more room in the toe box is answered by the removal of the substantial forefoot to toe box overlays. There should be more vertical space in this shoe than the prior version.;The previously stiffer ride is answered by a larger cut out in the outsole. This gives the shoe more compression, particularly for those who land on their heels.;This kind of improvement is also manifested in the side walls of both the medial and lateral sides. There are perforations or dimples in most parts of the side walls for a bit more flex and a softer ride.;New Balance also made some considerable changes in the forefoot section of the outsole. There are more prominent podular rubber pods that increase softness and the smoothness of the ride.;As there are huge podular pods, this create cut outs for enhanced flexibility.;","The fit of the Vazee Prism v2 is somewhat similar to the original. One can notice that the upper has more room in the toe box and a more form-fitting fit. There are overlays on both sides to hold the foot well. The external heel counter may have been removed, but there is still sufficient support and security for neutrals and mild over pronators. It generally runs true to size.",Most of the outsole of the New Balance Prism v2 is composed of blown rubber for more traction. Only the heel section sports a harder carbon rubber to give the shoe a long-lasting performance. There are podular pods in the forefoot in answering the call for a smoother and softer ride. The resulting grooves should only improve the shoe’s flexibility.,"Superb breathability arrives in the 2nd version of the Vazee Prism because of the large holes of the soft mesh. There are strategically placed overlays for midfoot security. New Balance uses a very plush lining in the interior and a bootie construction for exceptional comfort. An internal, pliable heel counter with a tab of overlay keep the rear section secured and supported. For those who may require orthotics, the removable insole should be an excellent feature. A traditional lace-up closure holds the fit from the first stride until the last."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Armour,https://runrepeat.com/armour-speedform-fortis-vent,Under Armour SpeedForm Fortis Vent,5,92,105,N,Road,Neutral,Competition,$110 ,$67 | 39%,,,,,"A lightweight, breathable and durable mesh material is used for the upper unit of the SpeedForm Fortis Vent.;Runners appreciated the next-to-skin comfort that this shoe’s design provided.;An adjustable lockdown strap keeps the rear of the foot in place.;The sock liner has been embedded into the mid-sole and it adds more cushioning and support to the foot, while also staving off moisture.;A dual-layer platform is made to absorb shock forces, transfer energy to the runner, and enables the foot to lift off more efficiently.;The natural stride is encouraged because of a well-cushioned heel area and grooves in the forefoot.;High impact areas of the external sole unit are covered with durable rubber.;",The silicone grip in the rear area irritated the heel of a few runners.;A few noted that it was one size smaller than what they were used to.;,"A well-cushioned running experience is what the Under Armour SpeedForm Fortis Vent is all about. It assists the runner’s foot and carries it in a comfortable and unrestricted manner. Tackling the roads becomes easier for neutral runners because of this long-lasting, and great-looking running companion.The silicone grip in the rear area irritated the heel of a few runners.;A few noted that it was one size smaller than what they were used to.;",4.6 / 5 based on 105 ratings,"How popular is Under Armour SpeedForm Fortis Vent in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #809 most popular running shoes.",70%,16%,8%,1%,1%,"The Under Armour SpeedForm Fortis Vent offers high quality coverage, lightweight performance and sure protection that’s going to last a long time. It has an appealing look that caters to the tastes of modern runners who want more kick out of the visual aspect of their running gear. It’s a shoe to enjoy when tackling the roads.;The upper unit utilizes a mesh material that’s lightweight and breathable. It allows air to provide a well-ventilated environment for the foot. It also has a next-to-skin design that’s non-irritating. Basically, it allows the foot to feel like it’s already wearing a sock, even when not actually wearing a sock in the first place. A lockdown fit is also afforded by add-ons that keep the foot inside the shoe at all times.;The mid-sole unit of the SpeedForm Fortis Vent makes use of a dual-layer foam that runs its entire length. A top layer is responsible for absorbing the impact forces during each step, and gives energy to the runner for a better stride. The foam beneath it adds cushioning and makes each take-off more explosive. A sock liner has been added and it keeps the immediate underfoot well-cushioned.;Durable rubber is placed in critical areas of the outsole where impact and abrasion are most commonly occurring. It shields the mid-sole from any potential damage due to frequent use or surface friction. Flex grooves allow the runner to move more naturally through the gait cycle.;","The Under Armour SpeedForm Fortis Vent has a standard running shoe length. It comes in sizes that adhere to the regular measurements for men and women. The width of this shoe is medium, so it is able to accommodate the runners who have medium sized feet. Its semi-curved shape follows the natural curvature of the human foot.","The outsole unit of the Under Armour SpeedForm Fortis Vent utilizes a solid rubber compound that’s highly resilient and resistant to wear and tear. It doesn’t have a substantial weight, so it won’t weigh the foot down. It is placed in areas of the foot where impact is at its most frequent. It shields the sole unit from any potential damage.",The ArmourVent™ is a mesh material is lightweight and comfortable to the skin. It doesn’t make the runner’s foot feel like it’s in a stiff and unwieldy environment. It allows air to seamlessly enter the shoe in order to keep the foot cool and dry.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizuno,https://runrepeat.com/mizuno-wave-inspire-13,Mizuno Wave Inspire 13,9,92,143,N,Road,Stability,Daily running,$120 ,$81 | 32%,9,12,20,,"Many testers noted that the Mizuno Wave Inspire 13 adhered to their preference in terms of the size schemes.;A runner reported that it felt great and it performed well on the roads.;‘Comfortable’ was used by many consumers as a means to describe their time wearing this shoe.;Several reviewers stated that this version was suitably more cushioned than the previous ones.;The cushioning system was responsive and agreeable, according to several commenters.;A runner wrote that the toe box was roomy enough to allow natural toe-splaying.;According to a purchaser, the Mizuno Wave Inspire 13 felt lighter than the previous stability shoes they’ve used.;Runners generally didn’t have concerns when it came to the durability of this running shoe.;This version was touted by its users as a great evolution to the long-running series.;","The fit was a little loose in the middle section of the shoe, commented a tester.;A runner didn’t like the laces much because they wrote that it easily came loose and that it gave the impression that it could easily break.;According to a purchaser, the cushioning near the heel area wasn’t very efficient because it felt as though the rear of the foot was falling through the bottom.;The midsole felt hard and inflexible, complained a consumer; it apparently diminished the potential for natural movement during the running session, as well as causing some foot discomfort.;","The Wave Inspire 13 from Mizuno worked well for a great number of runners, especially those who desired reliable stability and performance. They noted that its components were dependable and efficient, making it a solid choice for the roads. On the other hand, there were those who had some concerns with its general construction and quality.The fit was a little loose in the middle section of the shoe, commented a tester.;A runner didn’t like the laces much because they wrote that it easily came loose and that it gave the impression that it could easily break.;According to a purchaser, the cushioning near the heel area wasn’t very efficient because it felt as though the rear of the foot was falling through the bottom.;The midsole felt hard and inflexible, complained a consumer; it apparently diminished the potential for natural movement during the running session, as well as causing some foot discomfort.;",4.6 / 5 based on 143 ratings,"How popular is Mizuno Wave Inspire 13 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #76 most popular running shoes.",73%,15%,8%,1%,1%,"The Mizuno Wave Inspire 13 comes with an updated upper. It utilizes a new upper mesh design that offers improved flexibility and breathability. The almost seamless upper design provides enhanced comfort and improved overall on-foot experience.;The shoe also comes with an updated midsole. Aside from the new u4ic midsole compound, the Wave Inspire 13 comes with a new u4icx heel wedge for a smoother underfoot feel.;","The Wave Inspire 13 has a standard running shoe length and the fit much the same with its predecessor. It has a medium fit from the heel to the forefoot area and has adequate space in the toe box. The widths for men’s and women’s versions are standard D and B, respectively.",The outsole unit of the shoe utilizes the Mizuno X10 technology and blown rubber compound. It provides reliable traction while running on the road. The blown rubber in the forefoot provides durability and added cushioning. It also features the Flex Controllers that is strategically placed in high-flex areas for enhanced flexibility without adding weight.,"The Mizuno Wave Inspire 13 features the AIRmesh upper coverage that provides breathability and enhanced flexibility. This works perfectly with the Dynamotion fit that offers a comfortable forefoot fit and the collar construction provides added comfort. Lastly, the stitched overlays in the lateral and medial side provides a secure foot lockdown."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas,https://runrepeat.com/adidas-supernova,Adidas Supernova,9,92,274,N,Road,Neutral,Daily running,$130 ,$68 | 48%,10,10,22,,"Most customers appreciated the cushioning of Adidas Supernova, stating that it was responsive.;Purchasers found its lightweight nature very agreeable for their feet.;Many of the testers found these shoes to be extremely comfortable during their running sessions.;Users found the shoe to be true to size and performed well in long runs.;A user welcomed its durable build and recommended it for everyday use.;A user appreciated the webbed design on the outsole, which provided traction and encouraged flexibility.;Most customers seemed content with the overall appearance of the shoe.;The many available color schemes appealed to those who wanted to try it.;",A user complained that the shoe was slightly slippery at Achilles area; he also felt pain under his heel.;A customer found the mid-sole uncomfortable compared to other shoes he had tried.;A few disliked its apparently narrow upper coverage.;Some complained that the shoe was heavy.;,"Adidas Supernova is a comfortable shoe with enhanced cushioning and traction system. It is a moderately weighted shoe which holds one’s feet firmly and remains true to size. The technologies incorporated in the model reduce the impact on the ground, re-energize feet and keep them cool and dry. It has a nice appearance overall and is available in different colors.A user complained that the shoe was slightly slippery at Achilles area; he also felt pain under his heel.;A customer found the mid-sole uncomfortable compared to other shoes he had tried.;A few disliked its apparently narrow upper coverage.;Some complained that the shoe was heavy.;",4.5 / 5 based on 274 ratings,"How popular is Adidas Supernova in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #187 most popular running shoes.",67%,23%,4%,2%,1%,"The Supernova’s mid-sole unit has a bouncy effect. The boost™ layer, which employs solid granular material in the shape of miniature capsules, has the capability of returning energy efficiently and taking the user’s running experience to comfortable new levels.;The FITCOUNTER molded heel counter prevents heel slippage during long runs, provides a natural fit and the optimal movement of the Achilles heel. The runners are given the chance to do longer distances without feeling the usual level of tired.;Adidas Supernova also uses the STRETCHWEB technology, which reduces foot impact on the ground and gives enhanced protection against wear and tear. It’s a webbed design that is deployed on the external part of the shoe.;","Supernova provides a snug fit, stays true to size and at the same time gives enough room for the feet to adjust. The shoe is available in the medium width for both the men and women’s versions.","The outsole of the shoe is made of light weight Continental™ rubber, which is specially designed to give extraordinary grip in all the conditions. It provides the runner with an improved control over the asphalt.",The Adidas Supernova is specially provided with an improved Engineered Mesh upper to allow air to enter. This helps to keep the foot cool and dry while delivering healthy and secure feel in any condition.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Armour,https://runrepeat.com/under-armour-dash-rn-2,Under Armour Dash RN 2,10,92,158,N,Road,Neutral,Daily running,$60 ,$40 | 33%,,,,,Most runners mentioned that the shoe was ‘super comfortable’ owing to its mid-sole foam.;The consumers seemed very happy with the good flexibility provided by the pair of shoes.;The purchasers highlighted that the shoe offered great attributes at a very reasonable price.;A few runners noticed that this shoe had a strong and durable build.;Some customers lauded the good traction capability of the outsole; they felt that it worked well on wet and dry surfaces.;A purchaser said that it was very easy to keep the shoe clean.;A runner admired the snug fit of the shoe since it prevented the foot from slipping or wobbling inside the foot-chamber during his running sessions.;Some users thought that the Under Armour Dash RN 2 was very stylish and pleasing to look at.;,"A few users found the shoe tight when it came to their usual running size; however, the issue was resolved by going a size up.;","With its incredible comfortability, high durability and optimal traction, the Under Armour Dash RN 2 has earned a large number of fans. For many neutral runners, it is a wise choice when it comes to finding a long-term, comfortable shoe in an affordable price.A few users found the shoe tight when it came to their usual running size; however, the issue was resolved by going a size up.;",4.6 / 5 based on 158 ratings,"How popular is Under Armour Dash RN 2 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #233 most popular running shoes.",73%,17%,2%,2%,2%,"On its outsole, the Under Armour Dash RN 2 utilizes a durable rubber with high traction and abrasion-resistance. This material enables the shoe to exhibit excellent performance on the roads.;For an optimal level of comfortability and a bouncy ride, the pair has the EVA midsole, along with a removable foam sock liner.;The upper is made from a breathable engineered mesh and also has a well-cushioned collar and tongue. The combination results in a fit that is both snugly cushioned and properly ventilated for a healthy inflow and outflow of air.;","The Under Armour Dash RN 2 is a neutral running shoe that’s available in the standard length and the medium width of D and B for men and women, respectively. Some users, however, may find the shoe tight in their regular size. It is, therefore, advisable to try it first.","The high-quality rubber outsole delivers optimal traction on tricky asphaltic surfaces. Moreover, the durable nature of this compound keeps the shoe running for considerably longer periods of time.",The breathable mesh upper made using the synthetic materials allows good circulation of air inside the shoe. This keeps the runner’s feet comfortably dry during workouts and runs.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
